,total_samples,cosine_improved,cosine_improved_pct,cosine_worsened,cosine_worsened_pct,cosine_unchanged,cosine_unchanged_pct,lev_improved,lev_improved_pct,lev_worsened,lev_worsened_pct,lev_unchanged,lev_unchanged_pct,overall_improved,overall_improved_pct,overall_worsened,overall_worsened_pct,overall_mixed,overall_mixed_pct,overall_unchanged,overall_unchanged_pct,cosine_mean_diff,cosine_std_diff,lev_mean_diff,lev_std_diff
only_weight_weighted_score_combined_score,281,199,70.8185053380783,13,4.6263345195729535,69,24.555160142348754,153,54.44839857651246,51,18.14946619217082,77,27.402135231316727,150,53.380782918149464,9,3.202846975088968,54,19.217081850533805,68,24.199288256227756,0.1448570738059346,0.15671736846268502,-5.213523131672598,12.271424523238371
equal_weight_score_diff_weighted_score_highest_chunk_score,281,199,70.8185053380783,14,4.98220640569395,68,24.199288256227756,151,53.736654804270465,53,18.86120996441281,77,27.402135231316727,149,53.02491103202846,10,3.558718861209965,56,19.9288256227758,66,23.487544483985765,0.1440123813856539,0.15675034736822974,-5.064056939501779,12.021754742963305
equal_weight_score_diff_weighted_score_combined_score,281,199,70.8185053380783,13,4.6263345195729535,69,24.555160142348754,151,53.736654804270465,52,18.505338078291814,78,27.75800711743772,149,53.02491103202846,9,3.202846975088968,56,19.9288256227758,67,23.843416370106763,0.14413875998975542,0.15661981756805526,-5.120996441281139,11.959582902693263
only_score_diff_weighted_score_combined_score,281,199,70.8185053380783,14,4.98220640569395,68,24.199288256227756,151,53.736654804270465,53,18.86120996441281,77,27.402135231316727,149,53.02491103202846,10,3.558718861209965,56,19.9288256227758,66,23.487544483985765,0.1440123813856539,0.15675034736822974,-5.064056939501779,12.021754742963305
only_weight_weighted_score_highest_chunk_score,281,199,70.8185053380783,14,4.98220640569395,68,24.199288256227756,152,54.092526690391466,53,18.86120996441281,76,27.046263345195733,149,53.02491103202846,10,3.558718861209965,55,19.572953736654807,67,23.843416370106763,0.14388401291972802,0.15686604645321522,-4.98220640569395,12.443596737202167
only_score_diff_weighted_score_highest_chunk_score,281,199,70.8185053380783,14,4.98220640569395,68,24.199288256227756,151,53.736654804270465,53,18.86120996441281,77,27.402135231316727,149,53.02491103202846,10,3.558718861209965,56,19.9288256227758,66,23.487544483985765,0.1440123813856539,0.15675034736822974,-5.064056939501779,12.021754742963305
only_weight_highest_avg_score_combined_score,281,189,67.25978647686833,40,14.23487544483986,52,18.505338078291814,143,50.88967971530249,78,27.75800711743772,60,21.352313167259787,137,48.754448398576514,33,11.743772241992882,60,21.352313167259787,51,18.14946619217082,0.10860236556504545,0.21149912994174916,-3.416370106761566,13.614452847090641
only_weight_highest_avg_score_highest_chunk_score,281,189,67.25978647686833,40,14.23487544483986,52,18.505338078291814,143,50.88967971530249,78,27.75800711743772,60,21.352313167259787,137,48.754448398576514,33,11.743772241992882,60,21.352313167259787,51,18.14946619217082,0.1081732990902938,0.2109522001823476,-3.323843416370107,13.662626666734193
equal_weight_score_diff_highest_avg_score_highest_chunk_score,281,185,65.83629893238434,42,14.94661921708185,54,19.217081850533805,141,50.177935943060504,78,27.75800711743772,62,22.064056939501782,132,46.97508896797153,32,11.387900355871885,65,23.131672597864767,52,18.505338078291814,0.10266496564569846,0.21389798464853838,-2.9501779359430604,14.097689481712498
only_score_diff_highest_avg_score_combined_score,281,185,65.83629893238434,42,14.94661921708185,54,19.217081850533805,141,50.177935943060504,78,27.75800711743772,62,22.064056939501782,132,46.97508896797153,32,11.387900355871885,65,23.131672597864767,52,18.505338078291814,0.10266496564569846,0.21389798464853838,-2.9501779359430604,14.097689481712498
equal_weight_score_diff_highest_avg_score_combined_score,281,185,65.83629893238434,42,14.94661921708185,54,19.217081850533805,141,50.177935943060504,78,27.75800711743772,62,22.064056939501782,132,46.97508896797153,32,11.387900355871885,65,23.131672597864767,52,18.505338078291814,0.10266496564569846,0.21389798464853838,-2.9501779359430604,14.097689481712498
only_score_diff_highest_avg_score_highest_chunk_score,281,185,65.83629893238434,42,14.94661921708185,54,19.217081850533805,141,50.177935943060504,78,27.75800711743772,62,22.064056939501782,132,46.97508896797153,32,11.387900355871885,65,23.131672597864767,52,18.505338078291814,0.10266496564569846,0.21389798464853838,-2.9501779359430604,14.097689481712498
equal_weight_score_diff_weighted_score_highest_similarity,281,177,62.989323843416365,26,9.252669039145907,78,27.75800711743772,130,46.263345195729535,66,23.487544483985765,85,30.2491103202847,126,44.83985765124555,21,7.473309608540925,58,20.640569395017792,76,27.046263345195733,0.12769704972297696,0.16235016711850514,-3.7437722419928825,11.85672948872356
only_weight_weighted_score_highest_similarity,281,178,63.345195729537366,24,8.540925266903916,79,28.11387900355872,130,46.263345195729535,65,23.131672597864767,86,30.604982206405694,126,44.83985765124555,19,6.761565836298933,58,20.640569395017792,78,27.75800711743772,0.12798039196224822,0.1617263416228153,-3.6725978647686834,12.10833056419465
only_score_diff_weighted_score_highest_similarity,281,177,62.989323843416365,26,9.252669039145907,78,27.75800711743772,130,46.263345195729535,66,23.487544483985765,85,30.2491103202847,126,44.83985765124555,21,7.473309608540925,58,20.640569395017792,76,27.046263345195733,0.12769704972297696,0.16235016711850514,-3.7437722419928825,11.85672948872356
only_weight_highest_avg_score_highest_similarity,281,174,61.92170818505338,50,17.793594306049823,57,20.284697508896798,127,45.195729537366546,90,32.028469750889684,64,22.77580071174377,119,42.34875444839858,41,14.590747330960854,65,23.131672597864767,56,19.9288256227758,0.09537885600561773,0.21204619615282325,-2.1530249110320283,13.35291828751205
only_score_diff_highest_avg_score_highest_similarity,281,174,61.92170818505338,51,18.14946619217082,56,19.9288256227758,129,45.90747330960854,89,31.672597864768683,63,22.419928825622776,118,41.99288256227758,39,13.87900355871886,70,24.91103202846975,54,19.217081850533805,0.0919582953020347,0.2143298841878725,-1.907473309608541,13.87714195015687
equal_weight_score_diff_highest_avg_score_highest_similarity,281,174,61.92170818505338,51,18.14946619217082,56,19.9288256227758,129,45.90747330960854,89,31.672597864768683,63,22.419928825622776,118,41.99288256227758,39,13.87900355871886,70,24.91103202846975,54,19.217081850533805,0.0919582953020347,0.2143298841878725,-1.907473309608541,13.87714195015687
only_weight_highest_cohesion_combined_score,281,56,19.9288256227758,174,61.92170818505338,51,18.14946619217082,85,30.2491103202847,136,48.39857651245551,60,21.352313167259787,36,12.811387900355871,115,40.92526690391459,80,28.46975088967972,50,17.793594306049823,-0.09313514287785703,0.19852920659197074,2.8612099644128115,13.779089215314697
only_weight_highest_cohesion_highest_chunk_score,281,57,20.284697508896798,172,61.20996441281139,52,18.505338078291814,79,28.11387900355872,140,49.8220640569395,62,22.064056939501782,34,12.099644128113878,116,41.281138790035584,80,28.46975088967972,51,18.14946619217082,-0.09312246861831149,0.2004077194349023,3.2313167259786475,13.876163593004625
only_score_diff_highest_cohesion_combined_score,281,54,19.217081850533805,175,62.27758007117438,52,18.505338078291814,76,27.046263345195733,142,50.5338078291815,63,22.419928825622776,32,11.387900355871885,119,42.34875444839858,80,28.46975088967972,50,17.793594306049823,-0.09523306612018165,0.19841521988129437,3.206405693950178,14.053029772964448
equal_weight_score_diff_highest_cohesion_combined_score,281,54,19.217081850533805,175,62.27758007117438,52,18.505338078291814,76,27.046263345195733,142,50.5338078291815,63,22.419928825622776,32,11.387900355871885,119,42.34875444839858,80,28.46975088967972,50,17.793594306049823,-0.09484026111741932,0.19791848064108797,3.195729537366548,14.048243627690097
equal_weight_score_diff_highest_cohesion_highest_chunk_score,281,54,19.217081850533805,175,62.27758007117438,52,18.505338078291814,76,27.046263345195733,142,50.5338078291815,63,22.419928825622776,32,11.387900355871885,119,42.34875444839858,80,28.46975088967972,50,17.793594306049823,-0.09523306612018165,0.19841521988129437,3.206405693950178,14.053029772964448
only_score_diff_highest_cohesion_highest_chunk_score,281,54,19.217081850533805,175,62.27758007117438,52,18.505338078291814,76,27.046263345195733,142,50.5338078291815,63,22.419928825622776,32,11.387900355871885,119,42.34875444839858,80,28.46975088967972,50,17.793594306049823,-0.09523306612018165,0.19841521988129437,3.206405693950178,14.053029772964448
only_weight_highest_cohesion_highest_similarity,281,51,18.14946619217082,176,62.63345195729537,54,19.217081850533805,78,27.75800711743772,138,49.11032028469751,65,23.131672597864767,30,10.676156583629894,116,41.281138790035584,82,29.181494661921707,53,18.86120996441281,-0.09656799486523421,0.19463495014793594,3.3594306049822062,13.66590394509794
equal_weight_score_diff_highest_cohesion_highest_similarity,281,48,17.08185053380783,178,63.345195729537366,55,19.572953736654807,75,26.690391459074732,139,49.46619217081851,67,23.843416370106763,28,9.9644128113879,118,41.99288256227758,82,29.181494661921707,53,18.86120996441281,-0.09819565708102705,0.1926733371620612,3.377224199288256,13.94243557391078
only_score_diff_highest_cohesion_highest_similarity,281,48,17.08185053380783,178,63.345195729537366,55,19.572953736654807,75,26.690391459074732,139,49.46619217081851,67,23.843416370106763,28,9.9644128113879,118,41.99288256227758,82,29.181494661921707,53,18.86120996441281,-0.09819565708102705,0.1926733371620612,3.377224199288256,13.94243557391078
